ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775841600006959,181457486,16,100,118.5796890258789
1775841600077291,181485422,15,100,118.5796890258789
1775841600091138,181515484,15,100,118.5796890258789
1775841600136098,181573305,16,100,118.5796890258789
1775841600150252,181604497,15,100,118.5796890258789
1775841600200572,181634444,16,100,118.5796890258789
1775841600205491,181664486,15,100,118.5796890258789
1775841600291564,181693428,15,100,118.5796890258789
1775841600295597,181723486,16,100,118.5796890258789
1775841600302939,181752499,15,100,118.5796890258789
1775841600319700,181782487,15,100,118.5796890258789
1775841600347699,181812470,15,100,118.5796890258789
1775841600466327,181842487,15,100,118.5796890258789
1775841600477327,181872469,16,100,118.5796890258789
1775841600481548,181929490,15,100,118.5796890258789
1775841600496795,181959499,15,100,118.5796890258789
1775841600544974,181988490,15,100,118.5796890258789
1775841600561523,182018477,16,100,118.5796890258789
1775841600600572,182048484,15,100,118.8630599975586
1775841600644722,182077555,15,100,118.5796890258789
1775841600663516,182107483,16,100,118.5796890258789
1775841600677186,182137486,15,100,118.5796890258789
1775841600734994,182167484,15,100,118.5796890258789
1775841600746548,182197486,15,100,118.5796890258789
1775841600773805,182227477,15,100,118.5796890258789
1775841600788249,182257487,15,100,118.5796890258789
1775841600816449,182287454,15,100,118.5796890258789
1775841600883419,182317485,16,100,118.5796890258789
1775841600891919,182347474,16,100,118.5796890258789
1775841600929805,182377486,16,100,118.5796890258789
1775841600938312,182407461,15,100,118.5796890258789
1775841600983633,182437484,15,100,118.5796890258789
1775841601010421,182467484,15,100,118.5796890258789
1775841601036786,182497486,15,100,118.5796890258789
1775841601070769,182527484,15,100,118.5796890258789
1775841601098218,182557485,16,100,118.5796890258789
1775841601124678,182587484,15,100,118.5796890258789
1775841601166254,182617458,15,100,118.5796890258789
1775841601181618,182647484,16,100,118.5796890258789
1775841601210665,182677481,16,100,118.8630599975586
1775841601258814,182707484,16,100,118.8630599975586
1775841601285786,182737463,15,100,118.8630599975586
1775841601303675,182767484,15,100,118.8630599975586
1775841601362395,182797486,15,100,118.8630599975586
1775841601375855,182827474,15,100,118.8630599975586
1775841601386218,182855517,15,100,118.8630599975586
1775841601420360,182885483,15,100,118.8630599975586
1775841601455695,182915527,15,100,118.8630599975586
1775841601489464,182945480,16,100,118.8630599975586
1775841601559150,182975256,16,100,118.8630599975586
1775841601569571,183006496,15,100,118.8630599975586
1775841601574825,183034490,15,100,118.8630599975586
1775841601646959,183064488,15,100,118.8630599975586
1775841601655554,183094488,16,100,118.8630599975586
1775841601661882,183123488,16,100,118.8630599975586
1775841601728773,183153488,16,100,118.8630599975586
1775841601736471,183183488,15,100,118.8630599975586
1775841601747531,183213487,15,100,118.8630599975586
1775841601790008,183243487,16,100,118.8630599975586
1775841601853109,183273472,15,100,118.8630599975586
1775841601854167,183303484,15,100,118.8630599975586
1775841601910973,183333492,15,100,118.8630599975586
1775841601920132,183363488,15,100,118.8630599975586
1775841601927131,183391487,15,100,118.8630599975586
1775841601961456,183421487,15,100,118.8630599975586
1775841601978815,183450489,15,100,118.8630599975586
1775841602049113,183480481,15,100,118.8630599975586
1775841602054386,183509846,15,100,118.8630599975586
1775841602081111,183538480,15,100,118.8630599975586
1775841602112945,183568490,15,100,118.8630599975586
1775841602191675,183598479,16,100,118.8630599975586
1775841602204175,183628515,15,100,118.8630599975586
1775841602233458,183687312,15,100,118.5796890258789
1775841602248778,183718496,15,100,118.5796890258789
1775841602317729,183748461,16,100,118.5796890258789
1775841602323333,183777490,15,100,118.5796890258789
1775841602345224,183808461,15,100,118.5796890258789
1775841602383527,183836487,15,100,118.8630599975586
1775841602404156,183866434,15,100,118.8630599975586
1775841602462998,183896489,15,100,118.5796890258789
1775841602476770,183926508,16,100,118.5796890258789
1775841602486427,183957524,15,100,118.5796890258789
1775841602539815,183986467,15,100,118.5796890258789
1775841602559659,184016489,16,100,118.5796890258789
1775841602582774,184046484,15,100,118.5796890258789
1775841602655239,184076477,15,100,118.5796890258789
1775841602670519,184106484,15,100,118.5796890258789
1775841602719788,184134515,15,100,118.5796890258789
1775841602728828,184164477,15,100,118.5796890258789
1775841602757500,184194473,15,100,118.5796890258789
1775841602773544,184223478,15,100,118.5796890258789
1775841602807514,184252488,16,100,118.5796890258789
1775841602825137,184282477,16,100,118.5796890258789
1775841602925088,184312488,16,100,118.5796890258789
1775841603036457,184370330,15,100,118.5796890258789
1775841603123726,184401484,16,100,118.5796890258789
1775841603161570,184431490,15,100,118.8630599975586
1775841603175868,184461483,15,100,118.8630599975586
1775841603185858,184491483,16,100,118.8630599975586
1775841603192951,184519477,15,100,118.8630599975586
1775841603208524,184549477,15,100,118.8630599975586
1775841603231785,184577485,15,100,118.5796890258789
1775841603242502,184661453,15,100,118.5796890258789
1775841603244380,184692475,15,100,118.5796890258789
1775841603293411,184722490,15,100,118.5796890258789
1775841603341852,184781291,15,100,118.5796890258789
1775841603346531,184810726,15,100,118.8630599975586
1775841603381687,184840431,15,100,118.8630599975586
1775841603447540,184870484,15,100,118.8630599975586
1775841603479218,184929423,15,100,118.8630599975586
1775841603548947,184961520,15,100,118.5796890258789
1775841603563026,184990491,15,100,118.5796890258789
1775841603570056,185020523,15,100,118.5796890258789
1775841603578754,185050483,15,100,118.8630599975586
1775841603663798,185080487,16,100,118.8630599975586
1775841603818161,185138340,15,100,118.8630599975586
1775841603819383,185169862,15,100,118.8630599975586
1775841603828081,185199461,16,100,118.8630599975586
1775841603835490,185226484,16,100,118.8630599975586
1775841603838121,185254474,15,100,118.8630599975586
1775841603846734,185284470,15,100,118.5796890258789
1775841603856601,185316470,15,100,118.5796890258789
1775841603907915,185346470,15,100,118.5796890258789
1775841603914719,185374473,15,100,118.5796890258789
1775841603974975,185403474,15,100,118.5796890258789
1775841603987751,185431490,15,100,118.8630599975586
1775841604048239,185489333,15,100,118.8630599975586
1775841604055741,185520492,16,100,118.8630599975586
1775841604123626,185550465,15,100,118.8630599975586
1775841604181457,185606322,15,100,118.5796890258789
1775841604197117,185637474,16,100,118.8630599975586
1775841604235440,185668485,15,100,118.8630599975586
1775841604239466,185698380,15,100,118.8630599975586
1775841604268105,185729487,15,100,118.8630599975586
1775841604316001,185759445,15,100,118.8630599975586
1775841604327579,185790490,15,100,118.8630599975586
1775841604392383,185820490,15,100,118.5796890258789
1775841604452561,185878441,15,100,118.5796890258789
1775841604456090,185909483,16,100,118.5796890258789
1775841604497840,185939522,15,100,118.8630599975586
1775841604506140,185969479,15,100,118.8630599975586
1775841604558567,185999524,15,100,118.8630599975586
1775841604588293,186028478,15,100,118.8630599975586
1775841604614118,186056483,15,100,118.8630599975586
1775841604620689,186083508,15,100,118.8630599975586
1775841604665136,186113497,15,100,118.8630599975586
1775841604672264,186143465,15,100,118.8630599975586
1775841604723955,186173474,15,100,118.8630599975586
1775841604760697,186203487,15,100,118.8630599975586
1775841604786134,186233475,15,100,118.8630599975586
1775841604862193,186263487,15,100,118.8630599975586
1775841604867716,186290520,15,100,118.8630599975586
1775841604873487,186320470,15,100,118.8630599975586
1775841604927687,186351461,15,100,118.8630599975586
1775841604953411,186410452,16,100,118.8630599975586
