ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775845200005924,3781465486,17,100,137.049072265625
1775845200029496,3781495486,17,100,137.049072265625
1775845200066776,3781525486,17,100,137.049072265625
1775845200118366,3781555486,17,100,137.049072265625
1775845200131372,3781585486,17,100,137.049072265625
1775845200157373,3781615486,17,100,137.049072265625
1775845200186231,3781645486,17,100,137.049072265625
1775845200211445,3781675484,17,100,137.049072265625
1775845200246438,3781705485,17,100,137.049072265625
1775845200274563,3781735470,17,100,137.049072265625
1775845200301832,3781765486,17,100,137.049072265625
1775845200325173,3781795482,17,100,137.049072265625
1775845200365524,3781825485,17,100,137.049072265625
1775845200388424,3781855485,17,100,137.049072265625
1775845200417868,3781885485,17,100,137.049072265625
1775845200462882,3781915525,17,100,137.049072265625
1775845200489730,3781945483,17,100,137.049072265625
1775845200514060,3781975229,17,100,137.049072265625
1775845200543649,3782006462,17,100,137.049072265625
1775845200573250,3782036485,17,100,137.049072265625
1775845200599485,3782066477,17,100,137.049072265625
1775845200624946,3782096486,17,100,137.049072265625
1775845200677391,3782126462,17,100,137.049072265625
1775845200699253,3782156483,17,100,137.049072265625
1775845200723527,3782186485,17,100,137.049072265625
1775845200745737,3782216485,17,100,137.049072265625
1775845200799936,3782246485,17,100,137.049072265625
1775845200832164,3782276485,17,100,137.049072265625
1775845200864032,3782306485,17,100,137.049072265625
1775845200876763,3782336458,17,100,137.049072265625
1775845200945707,3782366486,17,100,137.049072265625
1775845200952826,3782396481,17,100,137.049072265625
1775845200955988,3782426486,17,100,137.049072265625
1775845201011523,3782456473,17,100,137.049072265625
1775845201024219,3782484484,17,100,137.049072265625
1775845201046735,3782514486,17,100,137.049072265625
1775845201099505,3782544475,17,100,137.049072265625
1775845201128195,3782574485,17,100,137.049072265625
1775845201162115,3782604485,17,100,137.049072265625
1775845201187794,3782634486,17,100,137.049072265625
1775845201230320,3782664470,17,100,137.049072265625
1775845201256097,3782694486,17,100,137.049072265625
1775845201287720,3782724486,17,100,137.049072265625
1775845201317589,3782754486,17,100,137.049072265625
1775845201345372,3782784486,17,100,137.049072265625
1775845201370666,3782814486,17,100,137.049072265625
1775845201403441,3782844486,17,100,137.049072265625
1775845201439896,3782874486,17,100,137.049072265625
1775845201462675,3782904486,17,100,137.049072265625
1775845201485132,3782934522,17,100,137.049072265625
1775845201513660,3782964490,17,100,137.049072265625
1775845201543845,3782994477,17,100,137.049072265625
1775845201567435,3783024496,17,100,137.049072265625
1775845201596577,3783054482,17,100,137.049072265625
1775845201648214,3783084485,17,100,137.049072265625
1775845201675606,3783114485,17,100,137.049072265625
1775845201704327,3783144485,17,100,137.049072265625
1775845201727818,3783174485,17,100,137.049072265625
1775845201757881,3783204478,17,100,137.049072265625
1775845201781784,3783234486,17,100,137.049072265625
1775845201804786,3783264454,17,100,137.049072265625
1775845201833864,3783294485,17,100,137.049072265625
1775845201863806,3783324477,17,100,137.049072265625
1775845201893008,3783354486,17,100,137.049072265625
1775845201917373,3783384462,17,100,137.049072265625
1775845201965971,3783414483,17,100,137.049072265625
1775845201988534,3783444485,17,100,137.049072265625
1775845202015029,3783474485,17,100,137.049072265625
1775845202038280,3783504485,17,100,137.049072265625
1775845202065039,3783534485,17,100,137.049072265625
1775845202116484,3783564485,17,100,137.049072265625
1775845202147441,3783594458,17,100,137.049072265625
1775845202165228,3783624485,17,100,137.049072265625
1775845202190610,3783654481,17,100,137.049072265625
1775845202211724,3783684486,17,100,137.049072265625
1775845202265971,3783714463,17,100,137.049072265625
1775845202305040,3783744483,17,100,137.049072265625
1775845202333531,3783774486,17,100,137.049072265625
1775845202356086,3783804475,17,100,137.049072265625
1775845202387185,3783834485,17,100,137.049072265625
1775845202410904,3783864485,17,100,137.049072265625
1775845202444827,3783894486,17,100,137.049072265625
1775845202468816,3783924505,17,100,137.049072265625
1775845202499729,3783954493,17,100,137.049072265625
1775845202532314,3783983489,17,100,137.049072265625
1775845202565525,3784013523,17,100,137.049072265625
1775845202583708,3784043486,17,100,137.049072265625
1775845202612764,3784073486,17,100,137.049072265625
1775845202642973,3784103486,17,100,137.049072265625
1775845202670888,3784133486,17,100,137.049072265625
1775845202697505,3784163486,17,100,137.049072265625
1775845202719962,3784193484,17,100,137.049072265625
1775845202757504,3784223485,17,100,137.049072265625
1775845202781533,3784253470,17,100,137.049072265625
1775845202821508,3784282486,17,100,137.049072265625
1775845202842345,3784311482,17,100,137.049072265625
1775845202878386,3784341485,17,100,137.049072265625
1775845202906844,3784371485,17,100,137.049072265625
1775845202939968,3784401485,17,100,137.049072265625
1775845202972876,3784431485,17,100,137.049072265625
1775845203001101,3784461478,17,100,137.049072265625
1775845203028837,3784491486,17,100,137.049072265625
1775845203052459,3784521454,17,100,137.049072265625
1775845203108935,3784551485,17,100,137.049072265625
1775845203124868,3784580480,17,100,137.049072265625
1775845203146615,3784610486,17,100,137.049072265625
1775845203209174,3784640463,17,100,137.049072265625
1775845203229947,3784698329,17,100,137.049072265625
1775845203268610,3784729496,17,100,137.049072265625
1775845203298284,3784759485,17,100,137.049072265625
1775845203325799,3784789485,17,100,137.049072265625
1775845203353327,3784819485,18,100,137.049072265625
1775845203388920,3784849458,17,100,137.049072265625
1775845203429171,3784879486,17,100,137.049072265625
1775845203454744,3784909481,17,100,137.049072265625
1775845203485860,3784939524,17,100,137.049072265625
1775845203508777,3784969473,17,100,137.049072265625
1775845203537776,3784999492,17,100,137.049072265625
