ts,ts.1,copv_1,copv_2,d_cont,i_cont,p_cont,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,current_angle,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1776450000084567,3432305533,94.99996948242188,-0.0156238675117492,0,1.776802539825439,0,0,0.0312477350234985,0.0,0,True,False,False,158.5937347412109,-0.0156238675117492,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000226590,3432447057,89.84371948242188,0.0,0,1.776802539825439,0,0,0.0312477350234985,-0.1406148076057434,0,True,False,False,158.5937347412109,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000367768,3432588648,86.25000762939453,-0.0156238675117492,0,1.776802539825439,0,0,0.062495470046997,-0.0468716025352478,0,True,False,False,158.5937347412109,-0.0156238675117492,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000505985,3432721987,82.81253051757812,-0.0312551856040954,0,1.776802539825439,0,0,0.0312477350234985,-0.0937432050704956,0,True,False,False,158.5937347412109,-0.0156238675117492,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000657894,3432874219,79.53121948242188,0.0,0,1.776802539825439,0,0,0.0,-0.0468716025352478,0,True,False,False,153.9062652587891,-0.0156238675117492,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000797139,3433017728,76.09375,0.0,0,1.776802539825439,0,0,0.062495470046997,0.0,0,True,False,False,148.4374694824219,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450000937462,3433151550,73.2812271118164,0.0,0,1.776802539825439,0,0,0.0312477350234985,-0.0937432050704956,0,True,False,False,142.0312347412109,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450001066967,3433285058,70.15623474121094,-0.0156238675117492,0,1.776802539825439,0,0,0.0312477350234985,0.0,0,True,False,False,136.5625152587891,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450001213965,3433433593,67.65626525878906,-0.0312551856040954,0,1.776802539825439,0,0,0.062495470046997,0.0468827784061431,0,True,False,False,129.8437194824219,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450001353941,3433570451,65.15621948242188,-0.0156238675117492,0,1.776802539825439,0,0,0.0312477350234985,-0.0468716025352478,0,True,False,False,124.375,-0.0156238675117492,0,0,0.0312477350234985,-0.0468716025352478,0
1776450001510811,3433726062,62.50001525878906,0.0312477350234985,0,1.776802539825439,0,0,0.062495470046997,-0.1406148076057434,0,True,False,False,119.0625152587891,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
1776450001658988,3433874769,59.68749618530273,0.0,0,1.776802539825439,0,0,0.062495470046997,-0.0468716025352478,0,True,False,False,113.7500228881836,0.0,0,0,0.0312477350234985,-0.0468716025352478,0
