ts,ts.1,copv_1,copv_2,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1773430200051968,1948749908,642.5,10.15625858306885,0,-2.015613079071045,0.0937432050704956,424.734375,True,False,False,643.28125,9.68746852874756,0,-2.765625715255737,0.0468716025352478,424.9219055175781
1773430200155988,1948848908,641.71875,6.562471389770508,0,-3.468744516372681,0.1406148076057434,424.78125,True,False,False,643.28125,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430200264062,1948962145,642.1875,12.0311975479126,0,-3.04687762260437,0.0937432050704956,424.9219055175781,True,False,False,643.28125,9.999945640563965,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430200363302,1949055768,642.0313720703125,10.93745231628418,0,-1.640617847442627,-0.0937543809413909,424.875,True,False,False,643.1251220703125,9.999945640563965,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430200462585,1949160908,641.71875,6.718709945678711,0,-3.04687762260437,0.0468716025352478,425.0156555175781,True,False,False,643.1251220703125,9.999945640563965,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430200581249,1949258908,642.0313720703125,5.781203269958496,0,-2.531245231628418,0.0937432050704956,425.0156555175781,True,False,False,643.1251220703125,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.96875
1773430200683754,1949381908,641.5625610351562,8.749961853027344,0,-3.140620946884155,0.0468716025352478,424.828125,True,False,False,642.8125,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.96875
1773430200782563,1949476890,641.8750610351562,8.125007629394531,0,-2.859368801116943,0.0468716025352478,424.734375,True,False,False,642.6563110351562,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.96875
1773430200883748,1949580908,641.40625,9.531229972839355,0,-2.624988555908203,0.0,424.78125,True,False,False,642.6563110351562,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.96875
1773430200980430,1949678167,642.0313720703125,6.249994277954102,0,-2.81249737739563,-0.0468827784061431,424.734375,True,False,False,642.6563110351562,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201087500,1949777817,641.40625,9.999945640563965,0,-3.140620946884155,-0.0468827784061431,424.734375,True,False,False,642.5,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201199760,1949883910,641.5625610351562,11.25000381469727,0,-2.203121662139893,0.0468716025352478,425.0156555175781,True,False,False,642.5,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201306098,1950003907,642.0313720703125,10.62497520446777,0,-3.562487602233887,0.1406148076057434,424.9219055175781,True,False,False,642.5,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201419839,1950101870,641.5625610351562,7.34373950958252,0,-2.765625715255737,0.0468716025352478,424.875,True,False,False,642.3438110351562,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201529700,1950217941,641.2500610351562,9.531229972839355,0,-2.81249737739563,0.0937432050704956,424.734375,True,False,False,642.1875,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201649533,1950324908,641.5625610351562,10.15625858306885,0,-2.953112125396729,0.1874864101409912,424.640625,True,False,False,642.1875,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201751524,1950446909,641.2500610351562,9.68746852874756,0,-3.609381675720215,0.0468716025352478,424.6875305175781,True,False,False,642.1875,9.68746852874756,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201862874,1950546909,641.09375,10.62497520446777,0,-2.296864986419678,0.2812519669532776,424.6875305175781,True,False,False,642.0313720703125,9.999945640563965,0,-2.81249737739563,0.0468716025352478,424.9219055175781
1773430201967984,1950661908,641.09375,10.93745231628418,0,-2.062506914138794,-0.0468827784061431,424.640625,True,False,False,642.0313720703125,9.999945640563965,0,-2.81249737739563,0.0468716025352478,424.875
