ts,ts.1,copv_1,copv_2,d_cont,i_cont,p_cont,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,current_angle,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1774640400000045,76930718,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400029257,76953742,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400101528,76980215,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400133018,77052763,0.0,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400211982,77142716,0.0,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400276725,77158739,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400324074,77224503,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400400890,77273741,0.0,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400420067,77348740,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400443785,77370735,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400503482,77393797,-0.1562386751174927,0,0,3.009937524795532,0,0,0,0.0,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400521003,77453106,0.0,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400550160,77471880,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400568632,77496743,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400643868,77520741,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400664763,77591738,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400686662,77617230,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400727899,77635741,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0937432050704956,0.0,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400759795,77676019,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400825420,77707736,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0937432050704956,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400848714,77776743,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0937543809413909,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400878744,77794734,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400907167,77825991,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.1406148076057434,-0.1406259834766388,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400953465,77853739,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.1406148076057434,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640400987483,77901743,-0.3124773502349854,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
1774640401032297,77935739,-0.1562386751174927,0,0,3.009937524795532,0,0,0,-0.0468716025352478,-0.0468827784061431,True,False,False,-0.1562386751174927,0,0,0,0,-0.0468716025352478,-0.0937543809413909
