ts,ts.1,copv_1,copv_2,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1773427800170715,3843751840,-0.1562386751174927,-5.000010013580322,0,-3.000006198883057,77.01563262939453,263.9530944824219,True,False,False,0.0,-7.34373950958252,0,-2.390630483627319,49.07812118530273,51.00000381469727
1773427800282717,3843940010,-0.1562386751174927,-4.843771457672119,0,-2.343759059906006,-12.5625057220459,161.2500152587891,True,False,False,0.0,-7.187500476837158,0,-2.343759059906006,49.07812118530273,51.00000381469727
1773427800379588,3844036704,0.3125518560409546,-6.718784332275391,0,-1.406237483024597,-9.375001907348633,112.359375,True,False,False,0.0,-7.187500476837158,0,-2.343759059906006,49.07812118530273,51.00000381469727
1773427800511775,3844166203,-0.1562386751174927,-5.312487602233887,0,-2.953112125396729,-20.4375057220459,110.1093826293945,True,False,False,0.0,-7.187500476837158,0,-2.390630483627319,49.07812118530273,51.00000381469727
1773427800610328,3844265203,-0.1562386751174927,-5.937516689300537,0,-2.437502145767212,-2.765625715255737,147.234375,True,False,False,0.0,-6.718784332275391,0,-2.390630483627319,49.07812118530273,51.00000381469727
1773427800711844,3844369204,0.1562386751174927,-8.437484741210938,0,-2.81249737739563,12.74999237060547,129.28125,True,False,False,0.0,-7.187500476837158,0,-2.437502145767212,49.07812118530273,51.00000381469727
1773427800818129,3844472264,-0.3124773502349854,-4.218742370605469,0,-1.781255006790161,27.9843807220459,110.1093826293945,True,False,False,0.0,-7.187500476837158,0,-2.437502145767212,49.07812118530273,51.00000381469727
1773427800916900,3844568785,-0.1562386751174927,-6.875023365020752,0,-1.546874642372131,20.53123664855957,146.4375152587891,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,49.07812118530273,68.625
1773427801027248,3844677307,-0.3124773502349854,-8.59379768371582,0,-2.906240463256836,11.39062690734863,166.8281402587891,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,49.07812118530273,82.07813262939453
1773427801130868,3844777204,-0.3124773502349854,-5.937516689300537,0,-2.109378576278687,-9.09375,118.21875,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,49.07812118530273,86.71875762939453
1773427801226221,3844878204,-0.1562386751174927,-6.09375524520874,0,-2.81249737739563,-12.75000381469727,82.5,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,49.07812118530273,86.71875762939453
1773427801358986,3845016207,0.0,-6.562545776367188,0,-2.81249737739563,-14.25000667572021,-4.921875953674316,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,49.07812118530273,86.71875762939453
1773427801456651,3845111751,-0.1562386751174927,-8.125007629394531,0,-2.343759059906006,-26.0625114440918,-56.39062881469727,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,48.09375,86.71875762939453
1773427801562880,3845209204,-0.1562386751174927,-5.937516689300537,0,-2.203121662139893,-15.75000953674316,-52.35937881469727,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,48.09375,86.71875762939453
1773427801654505,3845311205,-0.1562386751174927,-8.437484741210938,0,-1.92186975479126,8.06249713897705,-58.21875381469727,True,False,False,-0.1562386751174927,-6.875023365020752,0,-2.343759059906006,48.09375,86.71875762939453
1773427801767258,3845404205,0.0,-6.406232833862305,0,-2.81249737739563,-10.4062557220459,-44.06250381469727,True,False,False,-0.1562386751174927,-6.718784332275391,0,-2.343759059906006,43.171875,82.5
1773427801869451,3845521984,0.0,-8.281246185302734,0,-2.531245231628418,-22.7343807220459,-18.46875190734863,True,False,False,-0.1562386751174927,-6.718784332275391,0,-2.343759059906006,27.9843807220459,82.5
1773427801964426,3845618499,-0.3124773502349854,-8.125007629394531,0,-2.343759059906006,-38.0625,32.25,True,False,False,-0.1562386751174927,-6.718784332275391,0,-2.343759059906006,20.53123664855957,32.25
1773427802095871,3845717944,-0.1562386751174927,-9.84378147125244,0,-2.203121662139893,-18.4218807220459,126.5156326293945,True,False,False,-0.1562386751174927,-6.718784332275391,0,-2.343759059906006,12.74999237060547,32.25
1773427802202503,3845849939,-0.3124773502349854,-5.000010013580322,0,-2.531245231628418,18.1875,270.1405944824219,True,False,False,-0.1562386751174927,-6.562545776367188,0,-2.343759059906006,12.74999237060547,32.25
1773427802303159,3845956204,-0.1562386751174927,-8.281246185302734,0,-2.906240463256836,77.24999237060547,288.09375,True,False,False,-0.1562386751174927,-6.562545776367188,0,-2.343759059906006,12.74999237060547,32.25
1773427802408803,3846056339,-0.3124773502349854,-7.96876859664917,0,-2.390630483627319,94.49999237060548,226.8281097412109,True,False,False,-0.1562386751174927,-6.562545776367188,0,-2.390630483627319,12.74999237060547,82.5
1773427802507890,3846162205,-0.1562386751174927,-6.09375524520874,0,-2.906240463256836,85.078125,78.00001525878906,True,False,False,-0.1562386751174927,-6.562545776367188,0,-2.437502145767212,12.74999237060547,82.5
