ts,ts.1,copv_1,copv_2,d_cont,i_cont,p_cont,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,current_angle,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1775845200089855,2302632471,733.75,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,736.5626220703125,0,0.0,0,0,0.0937543809413909,0
1775845200220618,2302752836,733.75,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,736.0938110351562,0,0.0,0,0,0.1406259834766388,0
1775845200346213,2302880234,733.1250610351562,0,0,0.0,0,0,0,0.0937543809413909,0,True,False,False,736.0938110351562,0,0.0,0,0,0.0937543809413909,0
1775845200490191,2303020082,732.65625,0,0,0.0,0,0,0,0.0468827784061431,0,True,False,False,736.0938110351562,0,0.0,0,0,0.0937543809413909,0
1775845200557976,2303092260,732.96875,0,0,0.0,0,0,0,0.1874975860118866,0,True,False,False,735.9375,0,0.0,0,0,0.0937543809413909,0
1775845200631934,2303165678,732.5001220703125,0,0,0.0,0,0,0,0.2343691885471344,0,True,False,False,735.4688720703125,0,0.0,0,0,0.1406259834766388,0
1775845200769537,2303299679,732.3438110351562,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,735.4688720703125,0,0.0,0,0,0.1406259834766388,0
1775845200886056,2303421645,732.1876220703125,0,0,0.0,0,0,0,0.2343691885471344,0,True,False,False,734.84375,0,0.0,0,0,0.1406259834766388,0
1775845200980022,2303513930,732.0313110351562,0,0,0.0,0,0,0,0.1874975860118866,0,True,False,False,734.6876220703125,0,0.0,0,0,0.1406259834766388,0
1775845201071743,2303607044,732.0313110351562,0,0,0.0,0,0,0,0.2343691885471344,0,True,False,False,734.6876220703125,0,0.0,0,0,0.1406259834766388,0
1775845201247345,2303787385,731.7188110351562,0,0,0.0,0,0,0,0.0468827784061431,0,True,False,False,734.5313110351562,0,0.0,0,0,0.1406259834766388,0
1775845201383836,2303921727,731.2500610351562,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,734.3751220703125,0,0.0,0,0,0.1406259834766388,0
1775845201520321,2304060270,731.4063720703125,0,0,0.0,0,0,0,0.0937543809413909,0,True,False,False,734.3751220703125,0,0.0,0,0,0.1406259834766388,0
1775845201679418,2304219857,731.0938720703125,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,734.2188110351562,0,0.0,0,0,0.1406259834766388,0
1775845201809472,2304352883,731.4063720703125,0,0,0.0,0,0,0,0.1874975860118866,0,True,False,False,734.0625,0,0.0,0,0,0.1406259834766388,0
1775845201948614,2304482620,730.3126220703125,0,0,0.0,0,0,0,0.0468827784061431,0,True,False,False,733.75,0,0.0,0,0,0.1406259834766388,0
1775845202091523,2304625043,730.1563110351562,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,733.75,0,0.0,0,0,0.1406259834766388,0
1775845202217059,2304751062,729.5313720703125,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,733.1250610351562,0,0.0,0,0,0.1406259834766388,0
1775845202377767,2304912999,729.6875,0,0,0.0,0,0,0,0.0937543809413909,0,True,False,False,732.96875,0,0.0,0,0,0.1406259834766388,0
1775845202518313,2305052141,729.3750610351562,0,0,0.0,0,0,0,0.0937543809413909,0,True,False,False,732.65625,0,0.0,0,0,0.1406259834766388,0
1775845202656988,2305195881,729.2188720703125,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,732.5001220703125,0,0.0,0,0,0.1406259834766388,0
1775845202729150,2305264307,729.6875,0,0,0.0,0,0,0,0.0468827784061431,0,True,False,False,732.3438110351562,0,0.0,0,0,0.1406259834766388,0
1775845202790922,2305324935,729.2188720703125,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,732.1876220703125,0,0.0,0,0,0.1406259834766388,0
1775845202871042,2305403594,729.0625610351562,0,0,0.0,0,0,0,0.1406259834766388,0,True,False,False,732.0313110351562,0,0.0,0,0,0.1406259834766388,0
