ts,ts.1,copv_1,copv_2,qd_pres,oxtank_1,oxtank_2,pilot_pres,ereg_closed,ereg_stage_1,ereg_stage_2,copv_1_median,copv_2_median,qd_pres_median,oxtank_1_median,oxtank_2_median,pilot_pres_median
1773426600026330,2643685205,0.0,-11.87503337860107,0,-4.171863079071045,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600132917,2643796368,0.0,-9.84378147125244,0,-4.218757152557373,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600239066,2643891220,-0.468716025352478,-9.218751907348633,0,-3.890633583068848,0.0468716025352478,0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,0.0,0.0
1773426600341189,2644004207,-0.1562386751174927,-15.00003051757812,0,-4.312500476837158,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600443745,2644101205,-0.1562386751174927,-10.78128814697266,0,-3.84373950958252,-0.0468827784061431,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600610956,2644208205,0.0,-10.46873664855957,0,-4.312500476837158,0.0468716025352478,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600714096,2644374501,-0.3124773502349854,-15.00003051757812,0,-4.453114986419678,-0.0468827784061431,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-3.93750524520874,-0.0468827784061431,0.0
1773426600821516,2644477024,-0.1562386751174927,-12.96877861022949,0,-4.312500476837158,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.078120231628418,-0.0468827784061431,0.0
1773426600918796,2644582204,-0.1562386751174927,-9.06251335144043,0,-4.078120231628418,-0.0468827784061431,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601030184,2644694654,-0.1562386751174927,-12.4999885559082,0,-4.453114986419678,0.0,0.0,True,False,False,-0.1562386751174927,-12.18751049041748,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601123020,2644789672,0.0,-10.62504959106445,0,-4.921875953674316,-0.0468827784061431,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601220224,2644887210,0.0,-14.06252384185791,0,-4.171863079071045,0.0468716025352478,0.0,True,False,False,-0.1562386751174927,-12.18751049041748,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601342520,2644982223,-0.3124773502349854,-14.68755340576172,0,-3.84373950958252,0.0468716025352478,0.0,True,False,False,-0.1562386751174927,-12.34374904632568,0,-4.078120231628418,0.0,0.0
1773426601444504,2645104203,0.0,-12.96877861022949,0,-4.078120231628418,-0.0937543809413909,-0.0468716025352478,True,False,False,-0.1562386751174927,-12.34374904632568,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601560687,2645209203,0.3125518560409546,-14.21876239776611,0,-4.734367370605469,-0.0937543809413909,0.0468716025352478,True,False,False,-0.1562386751174927,-12.4999885559082,0,-4.078120231628418,-0.0468827784061431,0.0
1773426601667706,2645327910,-0.1562386751174927,-12.96877861022949,0,-4.500009059906006,0.0,0.0,True,False,False,-0.1562386751174927,-12.4999885559082,0,-4.171863079071045,-0.0468827784061431,0.0
1773426601817119,2645431204,-0.1562386751174927,-10.46873664855957,0,-4.453114986419678,0.0,-0.0937543809413909,True,False,False,-0.1562386751174927,-12.4999885559082,0,-4.171863079071045,0.0,0.0
1773426601913197,2645579204,0.1562386751174927,-9.218751907348633,0,-4.546880722045898,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-12.4999885559082,0,-4.171863079071045,-0.0468827784061431,0.0
1773426602025001,2645676203,-0.1562386751174927,-13.5937328338623,0,-4.312500476837158,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-12.96877861022949,0,-4.171863079071045,-0.0468827784061431,0.0
1773426602119934,2645786919,-0.1562386751174927,-10.31249809265137,0,-3.234364032745361,0.0,0.0,True,False,False,-0.1562386751174927,-12.4999885559082,0,-4.171863079071045,-0.0468827784061431,0.0
1773426602254692,2645883517,0.1562386751174927,-10.00002002716064,0,-4.312500476837158,-0.0937543809413909,0.0,True,False,False,-0.1562386751174927,-12.18751049041748,0,-4.218757152557373,-0.0468827784061431,0.0
1773426602365249,2646023207,-0.1562386751174927,-12.96877861022949,0,-3.93750524520874,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-12.18751049041748,0,-4.218757152557373,0.0,0.0
1773426602489687,2646155204,-0.1562386751174927,-9.374991416931152,0,-4.265628814697266,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-12.18751049041748,0,-4.265628814697266,0.0,0.0
1773426602587611,2646251203,-0.1562386751174927,-11.87503337860107,0,-4.078120231628418,-0.0937543809413909,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.265628814697266,0.0,0.0
1773426602714901,2646358204,-0.1562386751174927,-10.78128814697266,0,-4.781238555908203,0.1406148076057434,0.0468716025352478,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.312500476837158,0.0,0.0
1773426602812748,2646478784,-0.468716025352478,-10.46873664855957,0,-3.796868085861206,-0.0468827784061431,0.0,True,False,False,-0.1562386751174927,-11.87503337860107,0,-4.312500476837158,0.0,0.0
1773426602916473,2646583203,0.0,-11.40624237060547,0,-4.453114986419678,0.0468716025352478,0.0,True,False,False,-0.1562386751174927,-11.40624237060547,0,-4.312500476837158,0.0,0.0
1773426603026727,2646683205,0.1562386751174927,-10.62504959106445,0,-4.640624046325684,-0.0937543809413909,0.0,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,0.0,0.0
1773426603150317,2646809125,0.0,-9.374991416931152,0,-3.234364032745361,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,0.0,0.0
1773426603245061,2646911206,-0.1562386751174927,-11.25000381469727,0,-3.93750524520874,0.0,0.0,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.265628814697266,0.0,0.0
1773426603341472,2647006209,-0.3124773502349854,-9.84378147125244,0,-3.93750524520874,-0.1406259834766388,0.0,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.265628814697266,-0.0468827784061431,0.0
1773426603465736,2647102154,-0.1562386751174927,-10.78128814697266,0,-3.84373950958252,-0.0468827784061431,-0.0937543809413909,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.265628814697266,-0.0468827784061431,0.0
1773426603572212,2647239205,-0.1562386751174927,-8.59379768371582,0,-4.734367370605469,-0.0468827784061431,-0.0468716025352478,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,-0.0468827784061431,0.0
1773426603692115,2647333204,0.0,-13.2812557220459,0,-4.640624046325684,0.0468716025352478,0.0,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,-0.0468827784061431,0.0
1773426603788451,2647452979,-0.1562386751174927,-13.1250171661377,0,-4.453114986419678,-0.1406259834766388,-0.1406259834766388,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,-0.0468827784061431,0.0
1773426603893544,2647554205,-0.1562386751174927,-11.09376525878906,0,-4.828132629394531,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.09376525878906,0,-4.312500476837158,-0.0468827784061431,0.0
1773426603984308,2647651309,0.0,-10.78128814697266,0,-3.234364032745361,-0.0468827784061431,0.0,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.312500476837158,-0.0468827784061431,0.0
1773426604080727,2647747204,-0.3124773502349854,-13.1250171661377,0,-3.187492370605469,0.0,-0.0937543809413909,True,False,False,-0.1562386751174927,-10.78128814697266,0,-4.265628814697266,-0.0468827784061431,0.0
1773426604178068,2647841714,-0.3124773502349854,-14.21876239776611,0,-3.468744516372681,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.09376525878906,0,-4.265628814697266,-0.0468827784061431,0.0
1773426604281470,2647945238,0.0,-15.15626907348633,0,-4.828132629394531,-0.0468827784061431,0.0468716025352478,True,False,False,-0.1562386751174927,-11.09376525878906,0,-4.265628814697266,-0.0468827784061431,0.0
1773426604381228,2648038206,-0.1562386751174927,-12.4999885559082,0,-4.734367370605469,-0.0937543809413909,0.0937432050704956,True,False,False,-0.1562386751174927,-11.25000381469727,0,-4.265628814697266,-0.0468827784061431,0.0
1773426604489164,2648141974,-0.3124773502349854,-13.7500467300415,0,-3.796868085861206,0.0,-0.0468716025352478,True,False,False,-0.1562386751174927,-11.25000381469727,0,-4.265628814697266,-0.0468827784061431,0.0
