ts,ts.1,board_temp,cap_fill_base,cap_fill_actual
1775844000012778,2581478484,17,100,119.1473693847656
1775844000060574,2581508486,17,100,119.1473693847656
1775844000084195,2581538486,18,100,119.1473693847656
1775844000109580,2581568486,18,100,119.1473693847656
1775844000137742,2581598486,18,100,119.1473693847656
1775844000165488,2581628486,17,100,119.1473693847656
1775844000199663,2581658458,17,100,119.1473693847656
1775844000221896,2581688486,17,100,119.1473693847656
1775844000262325,2581718482,17,100,119.1473693847656
1775844000286584,2581748487,17,100,119.1473693847656
1775844000314690,2581778464,17,100,119.1473693847656
1775844000345409,2581808484,17,100,119.1473693847656
1775844000375423,2581838486,18,100,119.1473693847656
1775844000395694,2581868475,18,100,119.1473693847656
1775844000428781,2581898486,17,100,119.1473693847656
1775844000469837,2581928525,18,100,119.1473693847656
1775844000497277,2581958490,18,100,119.1473693847656
1775844000523573,2581987475,18,100,119.1473693847656
1775844000550559,2582017492,18,100,119.1473693847656
1775844000583078,2582047487,18,100,119.1473693847656
1775844000620405,2582077487,17,100,119.1473693847656
1775844000646309,2582107486,18,100,119.1473693847656
1775844000673361,2582137486,17,100,119.1473693847656
1775844000701694,2582167487,18,100,119.1473693847656
1775844000743389,2582197487,17,100,119.1473693847656
1775844000765802,2582227487,17,100,119.1473693847656
1775844000790179,2582257485,18,100,119.1473693847656
1775844000835263,2582287486,18,100,119.1473693847656
1775844000861282,2582317470,17,100,119.1473693847656
1775844000888869,2582347487,18,100,119.1473693847656
1775844000911573,2582377483,18,100,119.1473693847656
1775844000935567,2582407486,17,100,119.1473693847656
1775844000971610,2582437486,17,100,119.1473693847656
1775844000994777,2582467486,17,100,119.1473693847656
1775844001053920,2582497485,18,100,119.1473693847656
1775844001082952,2582527488,18,100,119.1473693847656
1775844001107607,2582557486,18,100,119.1473693847656
1775844001131252,2582587456,17,100,119.1473693847656
1775844001169729,2582617486,17,100,119.1473693847656
1775844001209542,2582647477,18,100,119.1473693847656
1775844001236283,2582677486,18,100,119.1473693847656
1775844001261893,2582707463,18,100,119.1473693847656
1775844001286480,2582737484,17,100,119.1473693847656
1775844001311379,2582767486,18,100,119.1473693847656
1775844001344331,2582797486,18,100,119.1473693847656
1775844001375277,2582827486,18,100,119.1473693847656
1775844001404235,2582857486,18,100,119.1473693847656
1775844001428615,2582887486,18,100,119.1473693847656
1775844001465857,2582917501,18,100,119.1473693847656
1775844001490624,2582947490,17,100,119.1473693847656
1775844001517122,2582976488,18,100,119.1473693847656
1775844001542780,2583006492,18,100,119.1473693847656
1775844001570367,2583036464,18,100,119.1473693847656
1775844001597210,2583066484,18,100,119.1473693847656
1775844001622160,2583096486,17,100,119.1473693847656
